ID do Frame,Quadril Esquerdo,Joelho Esquerdo,Tornozelo Esquerdo,Ângulo
32,"[0.5342198610305786, 0.5211700201034546]","[0.5327014923095703, 0.6850826740264893]","[0.5251405239105225, 0.8436453342437744]",177.80068359938798
33,"[0.5345748662948608, 0.5207812190055847]","[0.5330745577812195, 0.68464595079422]","[0.5255604386329651, 0.8422588109970093]",177.7950898308411
34,"[0.5348219871520996, 0.5204171538352966]","[0.5329383611679077, 0.6829513311386108]","[0.5257744193077087, 0.8421329855918884]",178.0871297059686
35,"[0.5353221297264099, 0.5204124450683594]","[0.5330925583839417, 0.683045506477356]","[0.525898277759552, 0.8420602679252625]",178.1949731605568
36,"[0.5358632802963257, 0.5215983390808105]","[0.5331845283508301, 0.6833931803703308]","[0.5259803533554077, 0.8419541120529175]",178.34709949520104
37,"[0.5365620255470276, 0.5230683088302612]","[0.5334884524345398, 0.683476448059082]","[0.5260840654373169, 0.8410787582397461]",178.40784592180702
38,"[0.5368508696556091, 0.5234755277633667]","[0.5335757732391357, 0.6836402416229248]","[0.5262871980667114, 0.8409775495529175]",178.51913485359097
39,"[0.5371097922325134, 0.5236145257949829]","[0.5339781045913696, 0.6837807893753052]","[0.5264765024185181, 0.8408175706863403]",178.38522218596228
40,"[0.5372265577316284, 0.5236276984214783]","[0.5342382788658142, 0.6842216849327087]","[0.5264865159988403, 0.8411270380020142]",178.23767253736528
41,"[0.5373009443283081, 0.5236003398895264]","[0.5343442559242249, 0.6842573285102844]","[0.5264365673065186, 0.8413780927658081]",178.17314440975196
42,"[0.537380576133728, 0.5235955119132996]","[0.5343242883682251, 0.684490442276001]","[0.5263322591781616, 0.841436505317688]",178.17312830729063
43,"[0.5375158786773682, 0.523583710193634]","[0.534582257270813, 0.684022843837738]","[0.5263293981552124, 0.8414461016654968]",178.04656973947542
44,"[0.5376283526420593, 0.52357017993927]","[0.5347567796707153, 0.6840171217918396]","[0.5263057947158813, 0.8417958617210388]",177.95937105645172
45,"[0.5376866459846497, 0.5234429836273193]","[0.5351234674453735, 0.682603120803833]","[0.5262938737869263, 0.8424642086029053]",177.76123375247406
46,"[0.5379089117050171, 0.5231963396072388]","[0.5352374315261841, 0.6805932521820068]","[0.5262545347213745, 0.8436452150344849]",177.81901676155837
47,"[0.5381052494049072, 0.5231859087944031]","[0.5354952812194824, 0.6802433729171753]","[0.5260317325592041, 0.8444247841835022]",177.65312442991637
48,"[0.538192093372345, 0.5231799483299255]","[0.53558748960495, 0.6807633638381958]","[0.5258463621139526, 0.8446750044822693]",177.5458834920985
49,"[0.538264811038971, 0.5232924818992615]","[0.5356096029281616, 0.6823435425758362]","[0.525679886341095, 0.8447116613388062]",177.45681222646257
50,"[0.538311243057251, 0.5233665108680725]","[0.5357369184494019, 0.6839564442634583]","[0.5254774689674377, 0.8450120091438293]",177.27350589703659
51,"[0.5383070707321167, 0.5232996940612793]","[0.53581702709198, 0.6848552227020264]","[0.5253223776817322, 0.8465192317962646]",177.16880021360006
52,"[0.5381627678871155, 0.5233848094940186]","[0.5357121229171753, 0.6855739951133728]","[0.5251380205154419, 0.8468344807624817]",177.11405823458847
53,"[0.538078248500824, 0.5233018398284912]","[0.5357067584991455, 0.6857629418373108]","[0.5250431299209595, 0.8467880487442017]",177.04751443788714
54,"[0.5371996164321899, 0.5228024125099182]","[0.5356014370918274, 0.6848147511482239]","[0.5250109434127808, 0.8467712998390198]",176.82387959593368
55,"[0.5358595252037048, 0.5230873823165894]","[0.5352261066436768, 0.6855096817016602]","[0.5250071883201599, 0.8475576043128967]",176.61508624285534
56,"[0.5349145531654358, 0.5232120752334595]","[0.5350581407546997, 0.6855071187019348]","[0.5250150561332703, 0.8475205898284912]",176.40212826649537
57,"[0.533388614654541, 0.5235909819602966]","[0.5344972610473633, 0.6875643134117126]","[0.5250008702278137, 0.8474905490875244]",176.21439848160398
58,"[0.5310037732124329, 0.523639976978302]","[0.5333598852157593, 0.6869174242019653]","[0.5249131917953491, 0.8469955325126648]",176.15280060903342
59,"[0.5283366441726685, 0.5235427021980286]","[0.5318888425827026, 0.6868873834609985]","[0.5248786807060242, 0.8470271825790405]",176.2476679363564
60,"[0.5253756046295166, 0.5235140323638916]","[0.5297328233718872, 0.687373161315918]","[0.524972140789032, 0.8447885513305664]",176.744535703242
61,"[0.5227320790290833, 0.5234842896461487]","[0.5272443890571594, 0.6876924633979797]","[0.5249733924865723, 0.842164933681488]",177.58367318072297
62,"[0.5196768045425415, 0.5232495069503784]","[0.5246538519859314, 0.6882289052009583]","[0.5244036912918091, 0.8423869609832764]",178.17906581373452
63,"[0.5170701742172241, 0.5231205821037292]","[0.5212546586990356, 0.6887767910957336]","[0.5238560438156128, 0.8423678278923035]",179.52334428814703
64,"[0.5145742297172546, 0.5229630470275879]","[0.518932580947876, 0.6887587308883667]","[0.5229799747467041, 0.842405378818512]",179.99686597567447
65,"[0.5110732913017273, 0.5223111510276794]","[0.5169404745101929, 0.6887453198432922]","[0.5229364037513733, 0.8424273133277893]",179.7846991209788
66,"[0.5076116323471069, 0.521414041519165]","[0.5148662328720093, 0.6893453598022461]","[0.522450864315033, 0.8424832820892334]",179.63819403902156
67,"[0.5045167207717896, 0.5207875967025757]","[0.5120400786399841, 0.6896193623542786]","[0.5212753415107727, 0.8422500491142273]",179.0888963321944
68,"[0.5022568702697754, 0.519679605960846]","[0.5089330077171326, 0.6887078881263733]","[0.5201491117477417, 0.8418096899986267]",178.07189131640945
69,"[0.4995923638343811, 0.5190864205360413]","[0.5068292617797852, 0.6887041926383972]","[0.518975019454956, 0.8418364524841309]",177.90814721926358
70,"[0.4972134232521057, 0.5190131664276123]","[0.5049739480018616, 0.6886610984802246]","[0.5180263519287109, 0.8416329026222229]",177.74218130567593
71,"[0.49446815252304077, 0.5191789865493774]","[0.5026193857192993, 0.6887848377227783]","[0.5161174535751343, 0.8414672017097473]",177.6993423676526
72,"[0.4924517273902893, 0.519206166267395]","[0.49933815002441406, 0.6887969374656677]","[0.5130112767219543, 0.841520369052887]",177.20930608198384
73,"[0.49095988273620605, 0.5201672315597534]","[0.4976509213447571, 0.6892448663711548]","[0.509699821472168, 0.8425144553184509]",177.77130894701043
74,"[0.48950648307800293, 0.5215753316879272]","[0.4978742003440857, 0.6891812086105347]","[0.5058268904685974, 0.8443398475646973]",179.92397651030652
75,"[0.4877626895904541, 0.5226382613182068]","[0.49782902002334595, 0.6891794204711914]","[0.5031738877296448, 0.8469701409339905]",178.48109721167816
76,"[0.48513540625572205, 0.5243861079216003]","[0.49764108657836914, 0.6880013942718506]","[0.5017375946044922, 0.8485369086265564]",177.09092758642063
77,"[0.4844220280647278, 0.5255979895591736]","[0.49751996994018555, 0.6884871125221252]","[0.5017683506011963, 0.8501593470573425]",176.9079851010487
78,"[0.4834696650505066, 0.5263395309448242]","[0.4976024627685547, 0.6891714930534363]","[0.5017659068107605, 0.8503472805023193]",176.5192332841103
79,"[0.4829283356666565, 0.526287317276001]","[0.4975869655609131, 0.689159631729126]","[0.501605212688446, 0.8504911661148071]",176.28395072988135
80,"[0.4823984205722809, 0.5262811183929443]","[0.49746251106262207, 0.6891433000564575]","[0.5016151666641235, 0.8503477573394775]",176.1910327538241
